Kudos Date,Kudos Type,Parent ID
"Jun 18, 2020, 7:50:30 PM",Activity,3634455295
"Jun 19, 2020, 2:32:44 PM",Activity,3638086865
"Jun 19, 2020, 2:33:25 PM",Activity,3638029353
"Jun 19, 2020, 2:33:29 PM",Activity,3637961577
"Jun 19, 2020, 6:20:18 PM",Activity,3639117967
"Jun 20, 2020, 5:39:16 PM",Activity,3644061386
"Jun 21, 2020, 3:10:46 PM",Activity,3648893889
"Jun 21, 2020, 3:10:58 PM",Activity,3648635774
"Jun 21, 2020, 4:16:40 PM",Activity,3649785929
"Jun 21, 2020, 4:16:45 PM",Activity,3649459856
"Jun 22, 2020, 12:59:36 PM",Activity,3653229926
"Jun 22, 2020, 12:59:45 PM",Activity,3653103967
"Jun 22, 2020, 7:13:32 PM",Activity,3654991767
"Jun 24, 2020, 2:09:55 AM",Activity,3661386742
"Jun 24, 2020, 5:08:50 PM",Activity,3664863646
"Jun 25, 2020, 12:00:41 PM",Activity,3667020184
"Jun 25, 2020, 4:53:21 PM",Activity,3668758400
"Jun 26, 2020, 2:35:17 AM",Activity,3671455449
"Jun 26, 2020, 12:50:45 PM",Activity,3673527792
"Jun 26, 2020, 12:50:50 PM",Activity,3673484817
"Jun 26, 2020, 12:50:53 PM",Activity,3671736684
"Jun 26, 2020, 8:42:33 PM",Activity,3675255181
"Jun 27, 2020, 1:44:57 PM",Activity,3678211349
"Jun 29, 2020, 4:54:09 PM",Activity,3688325698
"Jun 29, 2020, 4:54:21 PM",Activity,3688245623
"Jun 29, 2020, 6:05:29 PM",Activity,3689134084
"Jun 30, 2020, 3:37:24 PM",Activity,3692338920
"Jul 1, 2020, 3:44:14 PM",Activity,3695090368
"Jul 1, 2020, 3:44:19 PM",Activity,3693480177
"Jul 2, 2020, 12:53:38 AM",Activity,3700534223
"Jul 3, 2020, 10:54:35 PM",Activity,3707327839
"Jul 3, 2020, 10:54:50 PM",Activity,3706818864
"Jul 3, 2020, 10:55:15 PM",Activity,3706934528
"Jul 4, 2020, 2:41:50 PM",Activity,3711727512
"Jul 4, 2020, 2:42:06 PM",Activity,3711988326
